bernices-tavern-chicago,Bernice's Tavern,https://www.yelp.com/biz/bernices-tavern-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['3238 S Halsted St'],Chicago,IL,60608,98,1,1
lotus-cafe-and-b��nh-m��-sandwiches-chicago,Lotus Cafe & B��nh M�� Sandwiches,https://www.yelp.com/biz/lotus-cafe-and-b%C3%A1nh-m%C3%AC-sandwiches-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['719 W Maxwell St'],Chicago,IL,60607,321,1,1
garfield-park-conservatory-chicago,Garfield Park Conservatory,https://www.yelp.com/biz/garfield-park-conservatory-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,5,['300 N Central Park'],Chicago,IL,60624,398,1,1
oriole-chicago,Oriole,https://www.yelp.com/biz/oriole-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,5,['661 W. Walnut St.'],Chicago,IL,60661,55,1,1
j-p-graziano-grocery-co-chicago,J.P. Graziano Grocery Co.,https://www.yelp.com/biz/j-p-graziano-grocery-co-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['901 W Randolph St'],Chicago,IL,60607,378,1,1
bavettes-bar-and-boeuf-chicago,Bavette's Bar & Boeuf,https://www.yelp.com/biz/bavettes-bar-and-boeuf-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['218 W Kinzie St'],Chicago,IL,60654,1414,1,1
jackalope-coffee-and-tea-house-chicago,Jackalope Coffee & Tea House,https://www.yelp.com/biz/jackalope-coffee-and-tea-house-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['755 W 32nd St'],Chicago,IL,60608,205,1,1
girl-and-the-goat-chicago,Girl & the Goat,https://www.yelp.com/biz/girl-and-the-goat-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['809 W Randolph St'],Chicago,IL,60607,5701,1,1
loop-juice-chicago-2,Loop Juice,https://www.yelp.com/biz/loop-juice-chicago-2?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,"['Chicago French Market', '131 N Clinton St']",Chicago,IL,60661,106,1,1
buckingham-fountain-chicago,Buckingham Fountain,https://www.yelp.com/biz/buckingham-fountain-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['301 S Columbus Dr'],Chicago,IL,60605,278,1,1
cafe-monsivais-chicago,Cafe Monsivais,https://www.yelp.com/biz/cafe-monsivais-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['1637 W 18th St'],Chicago,IL,60608,49,1,1
saucy-porka-chicago,Saucy Porka,https://www.yelp.com/biz/saucy-porka-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['400 S Financial Pl'],Chicago,IL,60605,462,1,1
ub-dogs-chicago,UB Dogs,https://www.yelp.com/biz/ub-dogs-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['185 N Franklin St'],Chicago,IL,60606,339,1,1
bohemian-house-chicago,Bohemian House,https://www.yelp.com/biz/bohemian-house-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['11 W Illinois St'],Chicago,IL,60654,534,1,1
ninis-deli-chicago,Nini's Deli,https://www.yelp.com/biz/ninis-deli-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,5,['543 N Noble St'],Chicago,IL,60642,381,2,2
chicago-pizza-tours-chicago,Chicago Pizza Tours,https://www.yelp.com/biz/chicago-pizza-tours-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,5,[],Chicago,IL,60603,155,2,2
millennium-park-chicago,Millennium Park,https://www.yelp.com/biz/millennium-park-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['201 E Randolph St'],Chicago,IL,60602,991,2,2
pollo-express-chicago-2,Pollo Express,https://www.yelp.com/biz/pollo-express-chicago-2?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['1315 W 18th St'],Chicago,IL,60608,265,2,2
the-cloud-gate-chicago,The Cloud Gate,https://www.yelp.com/biz/the-cloud-gate-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,"['Millennium Park', '201 E Randolph St']",Chicago,IL,60602,508,2,2
bernices-tavern-chicago,Bernice's Tavern,https://www.yelp.com/biz/bernices-tavern-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['3238 S Halsted St'],Chicago,IL,60608,98,2,2
lotus-cafe-and-b��nh-m��-sandwiches-chicago,Lotus Cafe & B��nh M�� Sandwiches,https://www.yelp.com/biz/lotus-cafe-and-b%C3%A1nh-m%C3%AC-sandwiches-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['719 W Maxwell St'],Chicago,IL,60607,321,2,2
garfield-park-conservatory-chicago,Garfield Park Conservatory,https://www.yelp.com/biz/garfield-park-conservatory-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,5,['300 N Central Park'],Chicago,IL,60624,398,2,2
oriole-chicago,Oriole,https://www.yelp.com/biz/oriole-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,5,['661 W. Walnut St.'],Chicago,IL,60661,55,2,2
j-p-graziano-grocery-co-chicago,J.P. Graziano Grocery Co.,https://www.yelp.com/biz/j-p-graziano-grocery-co-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['901 W Randolph St'],Chicago,IL,60607,378,2,2
bavettes-bar-and-boeuf-chicago,Bavette's Bar & Boeuf,https://www.yelp.com/biz/bavettes-bar-and-boeuf-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['218 W Kinzie St'],Chicago,IL,60654,1414,2,2
jackalope-coffee-and-tea-house-chicago,Jackalope Coffee & Tea House,https://www.yelp.com/biz/jackalope-coffee-and-tea-house-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['755 W 32nd St'],Chicago,IL,60608,205,2,2
girl-and-the-goat-chicago,Girl & the Goat,https://www.yelp.com/biz/girl-and-the-goat-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['809 W Randolph St'],Chicago,IL,60607,5701,2,2
loop-juice-chicago-2,Loop Juice,https://www.yelp.com/biz/loop-juice-chicago-2?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,"['Chicago French Market', '131 N Clinton St']",Chicago,IL,60661,106,2,2
buckingham-fountain-chicago,Buckingham Fountain,https://www.yelp.com/biz/buckingham-fountain-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['301 S Columbus Dr'],Chicago,IL,60605,278,2,2
cafe-monsivais-chicago,Cafe Monsivais,https://www.yelp.com/biz/cafe-monsivais-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['1637 W 18th St'],Chicago,IL,60608,49,2,2
saucy-porka-chicago,Saucy Porka,https://www.yelp.com/biz/saucy-porka-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['400 S Financial Pl'],Chicago,IL,60605,462,2,2
ub-dogs-chicago,UB Dogs,https://www.yelp.com/biz/ub-dogs-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['185 N Franklin St'],Chicago,IL,60606,339,2,2
bohemian-house-chicago,Bohemian House,https://www.yelp.com/biz/bohemian-house-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['11 W Illinois St'],Chicago,IL,60654,534,2,2
grace-chicago-3,Grace,https://www.yelp.com/biz/grace-chicago-3?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['652 W Randolph St'],Chicago,IL,60661,234,2,2
chicago-pizza-tours-chicago,Chicago Pizza Tours,https://www.yelp.com/biz/chicago-pizza-tours-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,5,[],Chicago,IL,60603,155,3,3
millennium-park-chicago,Millennium Park,https://www.yelp.com/biz/millennium-park-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['201 E Randolph St'],Chicago,IL,60602,991,3,3
pollo-express-chicago-2,Pollo Express,https://www.yelp.com/biz/pollo-express-chicago-2?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['1315 W 18th St'],Chicago,IL,60608,265,3,3
